VisitTime,NumberCase,cutoff,NumberInfec,NumberSuscep,NumberSuscepPersonYrs,FoImean,FoIlow,FoIup,seroinci.personYrsmean,seroinci.personYrslow,seroinci.personYrsup,seroinci.totalcasemean,seroinci.totalcaselow,seroinci.totalcaseup,index
season1valid,609,8,5,251,98.09315068,0.019920319,0.006498949,0.045872545,0.050971958,0.016755291,0.114952898,0.008210181,0.002671043,0.019055115,0.8
season1valid,609,16,8,255,99.58630137,0.031372549,0.013639843,0.060878216,0.080332334,0.035320404,0.152162071,0.013136289,0.005687918,0.025718955,1
season1valid,609,32,11,272,106.0986301,0.040441176,0.020358163,0.071207,0.103677116,0.052902909,0.177938005,0.018062397,0.009050304,0.032088378,1.2
season2valid,555,8,29,224,118.1890411,0.129464286,0.088447206,0.180614098,0.245369619,0.170895408,0.333021056,0.052252252,0.035269805,0.074183562,1.8
season2valid,555,16,27,224,118.1890411,0.120535714,0.080956648,0.170510513,0.228447576,0.156266944,0.314702836,0.048648649,0.03230108,0.069994587,2
season2valid,555,32,26,236,124.4246575,0.110169492,0.073240472,0.157246504,0.208961797,0.141273125,0.290993719,0.046846847,0.030826763,0.067890523,2.2
season3valid,502,8,3,175,86.87945205,0.017142857,0.003549318,0.049279083,0.034530605,0.007178447,0.097611583,0.005976096,0.001234114,0.017364616,2.8
season3valid,502,16,2,178,88.36712329,0.011235955,0.001363635,0.039996802,0.022632852,0.002752793,0.079375994,0.003984064,0.000482853,0.014317109,3
season3valid,502,32,3,193,95.95342466,0.015544041,0.003217098,0.044751968,0.031265169,0.006494629,0.088659817,0.005976096,0.001234114,0.017364616,3.2
season4valid,493,8,29,168,84.76986301,0.172619048,0.118758279,0.238408759,0.342102712,0.242449634,0.453143013,0.058823529,0.039745241,0.083390558,3.8
season4valid,493,16,29,170,85.70958904,0.170588235,0.117321925,0.235716614,0.338351873,0.239623638,0.448610042,0.058823529,0.039745241,0.083390558,4
season4valid,493,32,29,187,94.29041096,0.155080214,0.106386165,0.215068195,0.307560437,0.216586483,0.411012326,0.058823529,0.039745241,0.083390558,4.2
season5valid,505,8,4,142,70.16712329,0.028169014,0.007727338,0.0705519,0.057006755,0.015748951,0.139575964,0.007920792,0.002162244,0.020155339,4.8
season5valid,505,16,4,144,71.11780822,0.027777778,0.00761929,0.069593367,0.056244703,0.015535499,0.137792969,0.007920792,0.002162244,0.020155339,5
season5valid,505,32,5,163,80.71506849,0.030674847,0.010033585,0.070130353,0.061946302,0.020417756,0.13867002,0.00990099,0.00322242,0.022953388,5.2
season6valid,502,8,23,145,77.91506849,0.15862069,0.103288659,0.228441923,0.295193221,0.197188806,0.409331685,0.045816733,0.029262234,0.067956787,5.8
season6valid,502,16,23,148,79.5890411,0.155405405,0.101137137,0.224004011,0.288984509,0.192806566,0.401437388,0.045816733,0.029262234,0.067956787,6
season6valid,502,32,26,170,91.5369863,0.152941176,0.102403991,0.21600939,0.284038191,0.194656051,0.387873602,0.051792829,0.034108138,0.074970195,6.2
