VisitTime,cutoff,NumberCase,NumberSeroPos8,SeroPosmean,SeroPoslow,SeroPosup,index
1,8,436,277,0.635321101,0.588195676,0.680596452,0.8
1,16,436,274,0.628440367,0.581186505,0.673938442,1
1,32,436,261,0.598623853,0.550925024,0.64497509,1.2
2,8,436,280,0.642201835,0.59521473,0.68724454,1.8
2,16,436,280,0.642201835,0.59521473,0.68724454,2
2,32,436,270,0.619266055,0.571856122,0.665045862,2.2
3,8,436,296,0.678899083,0.632822043,0.722527879,2.8
3,16,436,293,0.672018349,0.625747994,0.715935042,3
3,32,436,280,0.642201835,0.59521473,0.68724454,3.2
4,8,436,294,0.674311927,0.62810482,0.718133851,3.8
4,16,436,292,0.669724771,0.623392351,0.713735044,4
4,32,436,276,0.633027523,0.585858193,0.678378212,4.2
5,8,436,316,0.724770642,0.680268622,0.766192143,4.8
5,16,436,315,0.722477064,0.677883895,0.764021411,5
5,32,436,297,0.681192661,0.635182454,0.724723083,5.2
6,8,436,318,0.729357798,0.685042199,0.770529451,5.8
6,16,436,316,0.724770642,0.680268622,0.766192143,6
6,32,436,296,0.678899083,0.632822043,0.722527879,6.2
7,8,436,334,0.766055046,0.723439495,0.805017498,6.8
7,16,436,332,0.76146789,0.71861857,0.800727947,7
7,32,436,309,0.708715596,0.663603759,0.750968594,7.2
